"STATE","YEAR","AGI","marriage_rate","elder_rate","tax","charity","add_med","edu","retire","child","population","growth_rate"
"IA",2014,48411643.6073867,0.421788637008239,0.263426142841989,2230601.98442137,865313.025792594,14688.8162489537,5129.48613003867,10876.1674253063,23616.7440871075,2891140,0.167549797105553
"IA",2015,49550563.3544523,0.418159939489789,0.259375644640033,2391973.79146669,902410.116372138,16263.7237743244,5174.58616860345,11098.2314653098,24379.9975383346,2908600,0.174319502560531
"IA",2016,49749052.3043729,0.417971745362854,0.265320714310387,2450810.53764291,924217.14042002,15895.8522848952,5334.16645366309,12015.2873786743,24804.0655072364,2895100,0.211356689006155
"IA",2017,51991790.9142718,0.415052081725608,0.270598605437627,2684758.98774527,1002871.85622563,17524.9341475712,5185.26524466578,11946.545436461,24845.3842283433,2915610,0.220315643016561
"IA",2018,54783242.3150463,0.41381189340352,0.276025387947579,464040.32524538,578668.578562812,19269.2248930745,5122.28754729396,12820.142454214,25307.3414247135,2917920,0.247570115733997
"IA",2019,55847293.8327722,0.40384634751404,0.275468037181135,449704.657397119,585407.487480404,19223.4049977677,5211.05935016936,13273.3523949875,25555.2286022162,2978930,0.292948740484615
"IA",2020,58569189.7585417,0.388663288575235,0.277799101397575,400385.007947439,568387.026290411,21957.2302209091,5300.36604663314,12146.9587081542,21614.5254211594,3100370,0.335131976112125
"IA",2021,64871057.2032793,0.39709855061764,0.286933410293669,385751.307152277,671694.273449691,26719.539895768,5300.78268660924,12088.8822674662,6855.18491286591,2979890,0.389423717163907
"ID",2013,19373767.8917975,0.46472774066684,0.258580312908654,849743.513952749,499442.885630838,5185.15132587259,2142.8425435933,5015.81438506694,7573.05526155982,1383240,0.434071084350636
"ID",2014,20773676.1195672,0.461673243208593,0.258194037604309,877631.156184561,523397.804598356,6126.61971680508,2089.43311870539,5452.99357540706,7666.02892491346,1403980,0.457536400448006
